値段,サイズ,アルコール度数,評判,色,アロマ,味わい,年代,年代 3,性別,因子1,因子2
75,50,95,40,0,0,40,50代,40,女性,-1.634392208,0.194683966
75,50,95,40,0,0,40,50代,40,女性,-1.634392208,0.194683966
75,50,95,40,0,0,40,50代,40,女性,-1.634392208,0.194683966
75,50,95,40,0,0,40,50代,40,女性,-1.634392208,0.194683966
75,50,95,40,0,0,40,50代,40,男性,-1.634392208,0.194683966
75,50,95,40,0,0,40,50代,40,女性,-1.634392208,0.194683966
75,50,95,40,0,0,40,50代,40,男性,-1.634392208,0.194683966
75,50,95,40,0,0,40,50代,40,男性,-1.634392208,0.194683966
75,50,95,40,0,0,40,50代,40,男性,-1.634392208,0.194683966
75,50,95,40,0,0,40,50代,40,男性,-1.634392208,0.194683966
75,50,95,40,0,0,40,50代,40,男性,-1.634392208,0.194683966
50,15,20,50,10,5,50,20代,20,女性,-1.33124883,-0.860732726
50,15,20,50,10,5,50,20代,20,女性,-1.33124883,-0.860732726
50,15,20,50,10,5,50,20代,20,男性,-1.33124883,-0.860732726
50,15,20,50,10,5,50,20代,20,男性,-1.33124883,-0.860732726
50,15,20,50,10,5,50,20代,20,女性,-1.33124883,-0.860732726
50,15,20,50,10,5,50,20代,20,女性,-1.33124883,-0.860732726
50,15,20,50,10,5,50,20代,20,女性,-1.33124883,-0.860732726
50,15,20,50,10,5,50,20代,20,女性,-1.33124883,-0.860732726
50,15,20,50,10,5,50,20代,20,女性,-1.33124883,-0.860732726
50,15,20,50,10,5,50,20代,20,女性,-1.33124883,-0.860732726
50,15,20,50,10,5,50,20代,20,女性,-1.33124883,-0.860732726
70,60,70,75,10,15,25,50代,40,男性,-1.442631808,0.449165553
70,60,70,75,10,15,25,50代,40,男性,-1.442631808,0.449165553
70,60,70,75,10,15,25,50代,40,男性,-1.442631808,0.449165553
70,60,70,75,10,15,25,50代,40,男性,-1.442631808,0.449165553
70,60,70,75,10,15,25,50代,40,男性,-1.442631808,0.449165553
70,60,70,75,10,15,25,50代,40,男性,-1.442631808,0.449165553
70,60,70,75,10,15,25,50代,40,男性,-1.442631808,0.449165553
70,60,70,75,10,15,25,50代,40,男性,-1.442631808,0.449165553
70,60,70,75,10,15,25,50代,40,男性,-1.442631808,0.449165553
70,60,70,75,10,15,25,50代,40,男性,-1.442631808,0.449165553
70,60,70,75,10,15,25,50代,40,男性,-1.442631808,0.449165553
5,15,15,75,20,10,25,20代,20,男性,-1.326725265,-0.880165109
5,15,15,75,20,10,25,20代,20,男性,-1.326725265,-0.880165109
5,15,15,75,20,10,25,20代,20,男性,-1.326725265,-0.880165109
5,15,15,75,20,10,25,20代,20,男性,-1.326725265,-0.880165109
5,15,15,75,20,10,25,20代,20,男性,-1.326725265,-0.880165109
5,15,15,75,20,10,25,20代,20,男性,-1.326725265,-0.880165109
5,15,15,75,20,10,25,20代,20,男性,-1.326725265,-0.880165109
5,15,15,75,20,10,25,20代,20,男性,-1.326725265,-0.880165109
5,15,15,75,20,10,25,20代,20,男性,-1.326725265,-0.880165109
5,15,15,75,20,10,25,20代,20,男性,-1.326725265,-0.880165109
5,15,15,75,20,10,25,20代,20,男性,-1.326725265,-0.880165109
20,10,25,35,30,35,45,30代,30,男性,-0.713662193,-1.015560366
20,10,25,35,30,35,45,30代,30,男性,-0.713662193,-1.015560366
20,10,25,35,30,35,45,30代,30,男性,-0.713662193,-1.015560366
20,10,25,35,30,35,45,30代,30,男性,-0.713662193,-1.015560366
20,10,25,35,30,35,45,30代,30,女性,-0.713662193,-1.015560366
20,10,25,35,30,35,45,30代,30,女性,-0.713662193,-1.015560366
20,10,25,35,30,35,45,30代,30,女性,-0.713662193,-1.015560366
20,10,25,35,30,35,45,30代,30,女性,-0.713662193,-1.015560366
20,10,25,35,30,35,45,30代,30,女性,-0.713662193,-1.015560366
20,10,25,35,30,35,45,30代,30,女性,-0.713662193,-1.015560366
20,10,25,35,30,35,45,30代,30,女性,-0.713662193,-1.015560366
80,70,50,50,40,20,50,20代,20,男性,-0.505305987,0.703574616
80,70,50,50,40,20,50,20代,20,男性,-0.505305987,0.703574616
80,70,50,50,40,20,50,20代,20,男性,-0.505305987,0.703574616
80,70,50,50,40,20,50,20代,20,男性,-0.505305987,0.703574616
80,70,50,50,40,20,50,20代,20,男性,-0.505305987,0.703574616
80,70,50,50,40,20,50,20代,20,男性,-0.505305987,0.703574616
80,70,50,50,40,20,50,20代,20,男性,-0.505305987,0.703574616
80,70,50,50,40,20,50,20代,20,男性,-0.505305987,0.703574616
80,70,50,50,40,20,50,20代,20,男性,-0.505305987,0.703574616
80,70,50,50,40,20,50,20代,20,男性,-0.505305987,0.703574616
80,70,50,50,40,20,50,20代,20,男性,-0.505305987,0.703574616
10,15,20,85,40,30,50,30代,30,女性,-0.521160463,-0.890981811
10,15,20,85,40,30,50,30代,30,女性,-0.521160463,-0.890981811
10,15,20,85,40,30,50,30代,30,女性,-0.521160463,-0.890981811
10,15,20,85,40,30,50,30代,30,女性,-0.521160463,-0.890981811
10,15,20,85,40,30,50,30代,30,女性,-0.521160463,-0.890981811
10,15,20,85,40,30,50,30代,30,女性,-0.521160463,-0.890981811
10,15,20,85,40,30,50,30代,30,女性,-0.521160463,-0.890981811
10,15,20,85,40,30,50,30代,30,女性,-0.521160463,-0.890981811
10,15,20,85,40,30,50,30代,30,女性,-0.521160463,-0.890981811
10,15,20,85,40,30,50,30代,30,女性,-0.521160463,-0.890981811
10,15,20,85,40,30,50,30代,30,女性,-0.521160463,-0.890981811
25,35,30,40,45,30,65,30代,30,女性,-0.213851393,-0.319925174
25,35,30,40,45,30,65,30代,30,女性,-0.213851393,-0.319925174
25,35,30,40,45,30,65,30代,30,女性,-0.213851393,-0.319925174
25,35,30,40,45,30,65,30代,30,女性,-0.213851393,-0.319925174
25,35,30,40,45,30,65,30代,30,女性,-0.213851393,-0.319925174
25,35,30,40,45,30,65,30代,30,女性,-0.213851393,-0.319925174
25,35,30,40,45,30,65,30代,30,女性,-0.213851393,-0.319925174
25,35,30,40,45,30,65,30代,30,女性,-0.213851393,-0.319925174
25,35,30,40,45,30,65,30代,30,女性,-0.213851393,-0.319925174
25,35,30,40,45,30,65,30代,30,女性,-0.213851393,-0.319925174
25,35,30,40,45,30,65,30代,30,女性,-0.213851393,-0.319925174
90,80,70,20,50,70,60,20代,20,男性,0.238487095,0.991161447
90,80,70,20,50,70,60,20代,20,男性,0.238487095,0.991161447
90,80,70,20,50,70,60,20代,20,男性,0.238487095,0.991161447
90,80,70,20,50,70,60,20代,20,男性,0.238487095,0.991161447
90,80,70,20,50,70,60,20代,20,男性,0.238487095,0.991161447
90,80,70,20,50,70,60,20代,20,男性,0.238487095,0.991161447
90,80,70,20,50,70,60,20代,20,男性,0.238487095,0.991161447
90,80,70,20,50,70,60,20代,20,男性,0.238487095,0.991161447
90,80,70,20,50,70,60,20代,20,男性,0.238487095,0.991161447
90,80,70,20,50,70,60,20代,20,男性,0.238487095,0.991161447
90,80,70,20,50,70,60,20代,20,男性,0.238487095,0.991161447
10,25,10,100,50,40,60,30代,30,女性,-0.124467105,-0.627929613
10,25,10,100,50,40,60,30代,30,女性,-0.124467105,-0.627929613
10,25,10,100,50,40,60,30代,30,女性,-0.124467105,-0.627929613
10,25,10,100,50,40,60,30代,30,女性,-0.124467105,-0.627929613
10,25,10,100,50,40,60,30代,30,女性,-0.124467105,-0.627929613
10,25,10,100,50,40,60,30代,30,女性,-0.124467105,-0.627929613
10,25,10,100,50,40,60,30代,30,女性,-0.124467105,-0.627929613
10,25,10,100,50,40,60,30代,30,女性,-0.124467105,-0.627929613
10,25,10,100,50,40,60,30代,30,女性,-0.124467105,-0.627929613
10,25,10,100,50,40,60,30代,30,女性,-0.124467105,-0.627929613
10,25,10,100,50,40,60,30代,30,女性,-0.124467105,-0.627929613
75,95,100,50,55,40,65,20代,20,男性,0.142822658,1.42850082
75,95,100,50,55,40,65,20代,20,男性,0.142822658,1.42850082
75,95,100,50,55,40,65,20代,20,男性,0.142822658,1.42850082
75,95,100,50,55,40,65,20代,20,男性,0.142822658,1.42850082
75,95,100,50,55,40,65,20代,20,男性,0.142822658,1.42850082
75,95,100,50,55,40,65,20代,20,男性,0.142822658,1.42850082
75,95,100,50,55,40,65,20代,20,男性,0.142822658,1.42850082
75,95,100,50,55,40,65,20代,20,男性,0.142822658,1.42850082
75,95,100,50,55,40,65,20代,20,男性,0.142822658,1.42850082
75,95,100,50,55,40,65,20代,20,男性,0.142822658,1.42850082
75,95,100,50,55,40,65,20代,20,男性,0.142822658,1.42850082
5,10,15,65,50,65,85,30代,30,女性,0.316281916,-1.054883234
5,10,15,65,50,65,85,30代,30,女性,0.316281916,-1.054883234
5,10,15,65,50,65,85,30代,30,女性,0.316281916,-1.054883234
5,10,15,65,50,65,85,30代,30,女性,0.316281916,-1.054883234
5,10,15,65,50,65,85,30代,30,女性,0.316281916,-1.054883234
5,10,15,65,50,65,85,30代,30,女性,0.316281916,-1.054883234
5,10,15,65,50,65,85,30代,30,女性,0.316281916,-1.054883234
5,10,15,65,50,65,85,30代,30,女性,0.316281916,-1.054883234
5,10,15,65,50,65,85,30代,30,女性,0.316281916,-1.054883234
5,10,15,65,50,65,85,30代,30,女性,0.316281916,-1.054883234
5,10,15,65,50,65,85,30代,30,女性,0.316281916,-1.054883234
85,80,70,40,60,50,65,20代,20,男性,0.314194312,0.987340957
85,80,70,40,60,50,65,20代,20,男性,0.314194312,0.987340957
85,80,70,40,60,50,65,20代,20,男性,0.314194312,0.987340957
85,80,70,40,60,50,65,20代,20,男性,0.314194312,0.987340957
85,80,70,40,60,50,65,20代,20,男性,0.314194312,0.987340957
85,80,70,40,60,50,65,20代,20,男性,0.314194312,0.987340957
85,80,70,40,60,50,65,20代,20,男性,0.314194312,0.987340957
85,80,70,40,60,50,65,20代,20,男性,0.314194312,0.987340957
85,80,70,40,60,50,65,20代,20,男性,0.314194312,0.987340957
85,80,70,40,60,50,65,20代,20,男性,0.314194312,0.987340957
85,80,70,40,60,50,65,20代,20,男性,0.314194312,0.987340957
20,5,10,40,60,50,95,30代,30,女性,0.498089493,-1.192969086
20,5,10,40,60,50,95,30代,30,女性,0.498089493,-1.192969086
20,5,10,40,60,50,95,30代,30,女性,0.498089493,-1.192969086
20,5,10,40,60,50,95,30代,30,女性,0.498089493,-1.192969086
20,5,10,40,60,50,95,30代,30,女性,0.498089493,-1.192969086
20,5,10,40,60,50,95,30代,30,女性,0.498089493,-1.192969086
20,5,10,40,60,50,95,30代,30,女性,0.498089493,-1.192969086
20,5,10,40,60,50,95,30代,30,女性,0.498089493,-1.192969086
20,5,10,40,60,50,95,30代,30,女性,0.498089493,-1.192969086
20,5,10,40,60,50,95,30代,30,女性,0.498089493,-1.192969086
20,5,10,40,60,50,95,30代,30,女性,0.498089493,-1.192969086
100,70,50,30,75,60,80,30代,30,男性,0.839139228,0.688984441
100,70,50,30,75,60,80,30代,30,男性,0.839139228,0.688984441
100,70,50,30,75,60,80,30代,30,男性,0.839139228,0.688984441
100,70,50,30,75,60,80,30代,30,女性,0.839139228,0.688984441
100,70,50,30,75,60,80,30代,30,女性,0.839139228,0.688984441
100,70,50,30,75,60,80,30代,30,男性,0.839139228,0.688984441
100,70,50,30,75,60,80,30代,30,男性,0.839139228,0.688984441
100,70,50,30,75,60,80,30代,30,男性,0.839139228,0.688984441
100,70,50,30,75,60,80,30代,30,男性,0.839139228,0.688984441
100,70,50,30,75,60,80,30代,30,男性,0.839139228,0.688984441
100,70,50,30,75,60,80,30代,30,男性,0.839139228,0.688984441
95,95,100,0,80,70,95,20代,20,女性,1.219561872,1.420443687
95,95,100,0,80,70,95,20代,20,女性,1.219561872,1.420443687
95,95,100,0,80,70,95,20代,20,女性,1.219561872,1.420443687
95,95,100,0,80,70,95,20代,20,男性,1.219561872,1.420443687
95,95,100,0,80,70,95,20代,20,男性,1.219561872,1.420443687
95,95,100,0,80,70,95,20代,20,男性,1.219561872,1.420443687
95,95,100,0,80,70,95,20代,20,男性,1.219561872,1.420443687
95,95,100,0,80,70,95,20代,20,男性,1.219561872,1.420443687
95,95,100,0,80,70,95,20代,20,男性,1.219561872,1.420443687
95,95,100,0,80,70,95,20代,20,男性,1.219561872,1.420443687
95,95,100,0,80,70,95,20代,20,男性,1.219561872,1.420443687
65,30,35,80,80,60,90,60代,40,女性,0.942434739,-0.463835848
65,30,35,80,80,60,90,60代,40,女性,0.942434739,-0.463835848
65,30,35,80,80,60,90,60代,40,女性,0.942434739,-0.463835848
65,30,35,80,80,60,90,60代,40,女性,0.942434739,-0.463835848
65,30,35,80,80,60,90,60代,40,女性,0.942434739,-0.463835848
65,30,35,80,80,60,90,60代,40,女性,0.942434739,-0.463835848
65,30,35,80,80,60,90,60代,40,女性,0.942434739,-0.463835848
65,30,35,80,80,60,90,60代,40,女性,0.942434739,-0.463835848
65,30,35,80,80,60,90,60代,40,女性,0.942434739,-0.463835848
65,30,35,80,80,60,90,60代,40,女性,0.942434739,-0.463835848
65,30,35,80,80,60,90,60代,40,女性,0.942434739,-0.463835848
0,0,20,30,80,90,100,40代,40,女性,1.286252274,-1.345226221
0,0,20,30,80,90,100,40代,40,女性,1.286252274,-1.345226221
0,0,20,30,80,90,100,40代,40,女性,1.286252274,-1.345226221
0,0,20,30,80,90,100,40代,40,女性,1.286252274,-1.345226221
0,0,20,30,80,90,100,40代,40,女性,1.286252274,-1.345226221
0,0,20,30,80,90,100,40代,40,女性,1.286252274,-1.345226221
0,0,20,30,80,90,100,40代,40,女性,1.286252274,-1.345226221
0,0,20,30,80,90,100,40代,40,女性,1.286252274,-1.345226221
0,0,20,30,80,90,100,40代,40,女性,1.286252274,-1.345226221
0,0,20,30,80,90,100,40代,40,女性,1.286252274,-1.345226221
0,0,20,30,80,90,100,40代,40,女性,1.286252274,-1.345226221
50,100,100,30,90,75,100,30代,30,男性,1.516288231,1.534641446
50,100,100,30,90,75,100,30代,30,男性,1.516288231,1.534641446
50,100,100,30,90,75,100,30代,30,男性,1.516288231,1.534641446
50,100,100,30,90,75,100,30代,30,男性,1.516288231,1.534641446
50,100,100,30,90,75,100,30代,30,男性,1.516288231,1.534641446
50,100,100,30,90,75,100,30代,30,男性,1.516288231,1.534641446
50,100,100,30,90,75,100,30代,30,男性,1.516288231,1.534641446
50,100,100,30,90,75,100,30代,30,男性,1.516288231,1.534641446
50,100,100,30,90,75,100,30代,30,男性,1.516288231,1.534641446
50,100,100,30,90,75,100,30代,30,男性,1.516288231,1.534641446
50,100,100,30,90,75,100,30代,30,男性,1.516288231,1.534641446
15,10,25,30,95,80,100,40代,40,女性,1.524471805,-1.056973792
15,10,25,30,95,80,100,40代,40,女性,1.524471805,-1.056973792
15,10,25,30,95,80,100,40代,40,女性,1.524471805,-1.056973792
15,10,25,30,95,80,100,40代,40,女性,1.524471805,-1.056973792
15,10,25,30,95,80,100,40代,40,女性,1.524471805,-1.056973792
15,10,25,30,95,80,100,40代,40,女性,1.524471805,-1.056973792
15,10,25,30,95,80,100,40代,40,女性,1.524471805,-1.056973792
15,10,25,30,95,80,100,40代,40,女性,1.524471805,-1.056973792
15,10,25,30,95,80,100,40代,40,女性,1.524471805,-1.056973792
15,10,25,30,95,80,100,40代,40,女性,1.524471805,-1.056973792
15,10,25,30,95,80,100,40代,40,女性,1.524471805,-1.056973792
80,90,100,50,20,,40,50代,40,男性,,
80,90,100,50,20,,40,50代,40,男性,,
80,90,100,50,20,,40,50代,40,男性,,
80,90,100,50,20,,40,50代,40,男性,,
80,90,100,50,20,,40,50代,40,男性,,
80,90,100,50,20,,40,50代,40,男性,,
80,90,100,50,20,,40,50代,40,男性,,
80,90,100,50,20,,40,50代,40,男性,,
80,90,100,50,20,,40,50代,40,男性,,
80,90,100,50,20,,40,50代,40,男性,,
80,90,100,50,20,,40,50代,40,男性,,
